,year,make,model,final_price,mileage,engine,zipcode
229,1996,Chevrolet,Chevrolet Corvette C4,"$15,000",63000,5.7-Liter LT1 V8,14526
230,1995,Jeep,Jeep Grand Cherokee,"$20,250",11000,5.2-Liter V8,83301
231,1982,Toyota,Toyota Land Cruiser FJ40,"$42,000",0,"144 Miles Shown, TMU",34236
232,1958,Chevrolet,Chevrolet Corvette C1,"$65,500",21000,Overbored 283ci V8,85022
233,1997,Land Rover,Land Rover Defender 90 NAS,"$64,001",113000,4.0-Liter V8 ,60914
234,2010,Mercedes-Benz,Mercedes-Benz W221 S-Class,"$25,750",74000,Twin-Turbocharged 5.5L V12,7074
235,1994,Mercedes-Benz,Mercedes-Benz R129 SL,"$23,500",32000,6.0-Liter V12,10560
236,1993,Toyota,Toyota Land Cruiser 80-Series,"$36,000",0,4.2-Liter 1HD-T Turbodiesel Inline-Six,1056
237,2000,Honda,Honda S2000,"$29,800",36000,2.0-Liter Inline-Four,53114
238,2008,BMW,BMW E90/E92/E93 M3,"$43,000",34000,4.0-Liter S65 V8,48307
239,1973,Volkswagen,Volkswagen Thing,"$21,250",0,1.6L Flat-Four,91786
240,2010,Chevrolet,Chevrolet Corvette C6,"$45,950",19000,6.2-Liter LS3 V8,48381
241,2004,Porsche,Porsche 996 Turbo,"$96,000",24000,Twin-Turbocharged 3.6L Flat-Six,7052
242,1973,Triumph,Triumph TR6,"$20,000",64000,2.5-Liter Inline-Six,7945
243,2009,Mercedes-Benz,Mercedes-Benz R230 SL,"$30,250",79000,6.2-Liter M156 V8,91406
244,1993,Nissan,Nissan 240SX,"$14,000",36000,2.4-Liter KA24DE Inline-Four ,99037
245,1965,Chevrolet,Chevrolet Corvette C2,"$56,500",55000,327ci V8,8527
246,1998,BMW,BMW Z3,"$12,800",75000,1.9-Liter Inline-Four,34771
247,1978,Porsche,Porsche 911SC,"$203,001",0,Rebuilt & Modified 3.2L Flat-Six,34771
248,2006,Lotus,Lotus Elise,"$48,500",30000,1.8-Liter Inline-Four,30534
249,1971,Chevrolet,Chevrolet Chevelle,"$36,750",62000,502ci V8,8527
250,1980,Jeep,Jeep Grand Wagoneer,"$12,750",70000,360ci V8,34787
251,1973,Porsche,Porsche 914,"$25,888",0,911 2.2-Liter Flat-Six,60586
252,2010,Nissan,10s,"$27,000",0,3.7-Liter V6,68118
253,1999,Chevrolet,Chevrolet Suburban,"$37,000",27000,6.5-Liter Turbodiesel V8,53114
254,1997,Ford,Ford F-Series 1992-1997,"$18,850",37000,7.5-Liter V8,92127
255,1964,MG,MG MGB,"$23,500",45000,1.8-Liter Inline-Four,38024
256,1993,Chevrolet,Chevrolet Pickup,"$19,751",87000,5.7-Liter V8,32401
257,1993,Shelby,Shelby Cobra Replica,"$46,000",17000,Fuel-Injected 5.0L V8 ,97030
258,1995,Mitsubishi,Mitsubishi 3000GT,"$35,000",26000,Twin-Turbocharged 3.0-Liter V6,58831
259,1989,Porsche,Porsche 964 911,"$78,000",137000,3.6-Liter Flat-Six,10560
260,1988,Ferrari,Ferrari Testarossa,"$120,000",20000,4.9-Liter Flat-12,89117
261,2004,Volkswagen,00s,"$14,250",75000,4.2-Liter V8,53114
262,1982,Jeep,Jeep CJ-7,"$23,750",6000,5.3-Liter Vortec V8,29576
263,1973,Ford,Ford Mustang 1969-1973,"$20,888",7000,351ci Cleveland V8,92705
264,1969,Shelby,ord,"$138,000",81000,428ci Cobra Jet V8,91356
265,2016,Chevrolet,Chevrolet Corvette Callaway,"$102,000",8000,Supercharged 6.2-Liter LT4 V8,92626
266,1981,Kawasaki,80s,"$4,150",20000,"Air-Cooled 1,015cc DOHC Inline-Four",6877
267,1961,Chevrolet,Chevrolet Corvette C1,"$80,000",36000,6.0-Liter LS2 V8,29902
268,2004,Volkswagen,Volkswagen R32,"$25,000",141000,3.2-Liter VR6,12771
269,1960,Austin-Healey,Austin-Healey Bugeye Sprite,"$21,500",94000,3.5-Liter V8,92782
270,1971,Honda,Honda Motorcycles,"$9,300",0,736cc Inline-Four,27606
271,1971,,,"$21,500",10000,Yellow & Black Paint,97217
272,1999,BMW,BMW E36 M3,"$32,500",74000,3.2-Liter S52 Inline-Six,10310
273,1985,Chevrolet,Chevrolet Camaro 3rd Generation 1982-1992,"$10,305",32000,5.0-Liter TPI V8,32666
274,1976,Ford,Ford Bronco U13/U14/U15 1966-1977,"$34,500",60000,302ci V8,84010
275,2000,BMW,BMW E39 M5,"$37,250",43000,4.9-Liter S62 V8,7086
276,2000,Lexus,Lexus SC Coupe,"$14,300",82000,3.0L 2JZ-GE Inline-Six,94040
277,2011,Cadillac,Cadillac CTS-V,"$50,777",20000,6.2-Liter Supercharged V8,48331
278,1989,Porsche,Porsche 911 Carrera 3.2,"$62,900",132000,3.2-Liter Flat-Six,95682
279,2002,Porsche,Porsche 996 911,"$25,500",108000,3.6-Liter Flat-Six,29708
280,1986,Porsche,Porsche 911 Carrera 3.2,"$72,411",100000,3.2-Liter Flat-Six,94520
281,1972,Chevrolet,Chevrolet Pickup,"$34,197",48000,350ci V8,78759
282,1977,Pontiac,Pontiac Grand Prix,"$15,000",21000,350ci V8,1077
283,1985,Toyota,Toyota Celica,"$20,250",0,2.4-Liter Inline-Four,63026
284,1973,GMC,GMC Jimmy,"$49,500",0,454ci V8,92626
285,2016,Porsche,Porsche 991 Turbo,"$136,000",34000,Twin-Turbocharged 3.8L Flat-Six,33139
286,2020,McLaren,McLaren Super Series,"$307,000",0,Twin-Turbocharged 4.0-Liter V8 ,97227
287,1962,Chevrolet,Chevrolet Corvette C1,"$62,500",10000,327ci V8,92618
288,1960,Ford,Ford Galaxie,"$32,292",7000,Replacement 292ci V8,95988
289,1958,Jaguar,50s,"$19,750",32000,3.4-Liter Inline-Six,10549
290,2007,Ducati,00s,"$9,300",0,998cc Desmodromic L-Twin,60124
291,2000,Acura,Acura Integra,"$15,500",35000,1.8-Liter Inline-Four,33919
292,1997,Subaru,90s,"$7,200",0,103k Kilometers (~64k Miles) Shown,33919
